labels, EI-3
485.0,0.117687779657758,
486.0,0.13065990831405008,
487.0,0.14438835084871682,
488.0,0.1588920407695933,
489.0,0.17418991158451474,
490.0,0.19030089680131648,
491.0,0.20724392992783358,
492.0,0.22503794447190137,
493.0,0.243701873941355,
494.0,0.26325465184402974,
495.0,0.28371521168776076,
496.0,0.3051024869803834,
497.0,0.3274354112297326,
498.0,0.3507329179436438,
499.0,0.37499423715272684,
500.0,0.4001397849786901,
501.0,0.4260702740660169,
502.0,0.45268641705919027,
503.0,0.47988892660269317,
504.0,0.5075785153410091,
505.0,0.5356558959186208,
506.0,0.5640217809800118,
507.0,0.5925768831696648,
508.0,0.6212219151320633,
509.0,0.6498575895116903,
510.0,0.6783846189530288,
511.0,0.7067000497406271,
512.0,0.7346862627192922,
513.0,0.7622219723738962,
514.0,0.7891858931893114,
515.0,0.8154567396504098,
516.0,0.8409132262420637,
517.0,0.865446001823515,
518.0,0.8889934527514866,
519.0,0.9115058997570709,
520.0,0.9329336635713606,
521.0,0.9532270649254486,
522.0,0.9723364245504271,
523.0,0.9902204058032568,
524.0,1.0068710425443674,
525.0,1.0222887112600565,
526.0,1.0364737884366224,
527.0,1.049426650560362,
528.0,1.0611476741175732,
529.0,1.0716364746972245,
530.0,1.0808896242989674,
531.0,1.088902934025125,
532.0,1.0956722149780194,
533.0,1.101193278259973,
534.0,1.1054619349733088,
535.0,1.1084926751491975,
536.0,1.1103747045342076,
537.0,1.1112159078037545,
538.0,1.1111241696332554,
539.0,1.110190986749423,
540.0,1.1084423040841564,
541.0,1.1058876786206526,
542.0,1.1025515871387424,
543.0,1.098518185604799,
544.0,1.09388654978183,
545.0,1.088755755432844,
546.0,1.083224878320848,
547.0,1.077392994208851,
548.0,1.0713342103055614,
549.0,1.0650227596024948,
550.0,1.0584079065368663,
551.0,1.0514389155458923,
552.0,1.0440650510667886,
553.0,1.0362355775367715,
554.0,1.0279244728619155,
555.0,1.0192045688237308,
556.0,1.0101734106725864,
557.0,1.000928543658851,
558.0,0.9915675130328941,
559.0,0.982187864045084,
560.0,0.9728675433550109,
561.0,0.9636061032591484,
562.0,0.9543834974631905,
563.0,0.9451796796728317,
564.0,0.9359746035937664,
565.0,0.9267482229316889,
566.0,0.9174804913922938,
567.0,0.9081513626812749,
568.0,0.8987407905043269,
569.0,0.8892287285671442,
570.0,0.8795951305754209,
571.0,0.8698199502348519,
572.0,0.8598877711864888,
573.0,0.8498016968128173,
574.0,0.8395694604316797,
575.0,0.8291987953609189,
576.0,0.8186974349183784,
577.0,0.8080731124219008,
578.0,0.7973335611893287,
579.0,0.7864865145385058,
580.0,0.7755397057872743,
581.0,0.7645008682534773,
582.0,0.7533777352549579,
583.0,0.7421780401095589,
584.0,0.7309133859559919,
585.0,0.7196108552164433,
586.0,0.7083014001339683,
587.0,0.6970159729516218,
588.0,0.685785525912459,
589.0,0.6746410112595354,
590.0,0.6636133812359054,
591.0,0.6527220591401343,
592.0,0.6419403524928287,
593.0,0.6312300398701044,
594.0,0.6205528998480779,
595.0,0.6098707110028655,
596.0,0.5991452519105833,
597.0,0.5883554347447267,
598.0,0.577548706068307,
599.0,0.5667896460417146,
600.0,0.5561428348253397,
601.0,0.5456728525795727,
602.0,0.535444279464804,
603.0,0.5255065212490665,
604.0,0.5158482861309648,
605.0,0.5064431079167456,
606.0,0.49726452041265606,
607.0,0.4882860574249434,
608.0,0.47948125275985426,
609.0,0.4708275942027659,
610.0,0.46231838545557524,
611.0,0.45395088419930935,
612.0,0.4457223481149951,
613.0,0.4376300348836594,
614.0,0.4296712021863292,
615.0,0.4218431077040315,
616.0,0.4141430091177935,
617.0,0.40656816410864194,
618.0,0.3991158303576038,
619.0,0.3917832655457061,
620.0,0.3845677273539758,
621.0,0.3774664734634397,
622.0,0.37047676155512504,
623.0,0.3635958493100587,
624.0,0.3568209944092675,
625.0,0.35014945453377855,
626.0,0.3435784873646189,
627.0,0.33710535058281527,
628.0,0.3307273018693948,
629.0,0.3244415989053844,
630.0,0.318245499371811,
631.0,0.31213626094970165,
632.0,0.3061111413200833,
633.0,0.30016928429207634,
634.0,0.2943173781871743,
635.0,0.28856399745496447,
636.0,0.28291771654503395,
637.0,0.27738710990696974,
638.0,0.27198075199035904,
639.0,0.2667003425990803,
640.0,0.2615200829541781,
641.0,0.25640729963098796,
642.0,0.25132931920484597,
643.0,0.24625346825108782,
644.0,0.24114707334504948,
645.0,0.23599269008590398,
646.0,0.23083379016817424,
647.0,0.22572907431022043,
648.0,0.22073724323040275,
649.0,0.21591699764708136,
650.0,0.2113270382786165,
651.0,0.2070071191091442,
652.0,0.20292120718590417,
653.0,0.19901432282191178,
654.0,0.19523148633018247,
655.0,0.1915177180237318,
656.0,0.1878180382155752,
657.0,0.18408910607677145,
658.0,0.18033413621055266,
659.0,0.176567982078194,
660.0,0.17280549714097085,
661.0,0.16906153486015857,
662.0,0.16535094869703243,
663.0,0.16168859211286776,
664.0,0.15808931856893982,
665.0,0.15456798152652396,
666.0,0.15113943444689554,
667.0,0.14781853079132984,
668.0,0.1446201240211022,
669.0,0.14155306918205485,
670.0,0.13860222765829802,
671.0,0.13574646241850888,
672.0,0.13296463643136458,
673.0,0.1302356126655423,
674.0,0.12753825408971922,
675.0,0.12485142367257246,
676.0,0.12215398438277925,
677.0,0.1194247991890167,
678.0,0.11664273105996198,
679.0,0.1137866429642923,
680.0,0.1108353978706848,
