labels, P-420
496.0,0.10926737016495813,
497.0,0.12184841973609603,
498.0,0.13593341438946996,
499.0,0.15144634122422007,
500.0,0.16831118733948658,
501.0,0.1864519398344097,
502.0,0.20579258580812976,
503.0,0.22625711235978682,
504.0,0.24776950658852126,
505.0,0.2702537555934732,
506.0,0.2936338464737828,
507.0,0.3178337663285905,
508.0,0.3427775022570363,
509.0,0.36838904135826056,
510.0,0.3945923707314034,
511.0,0.4213072468585887,
512.0,0.4484365037538748,
513.0,0.4758787448143035,
514.0,0.5035325734369167,
515.0,0.5312965930187564,
516.0,0.5590694069568646,
517.0,0.586749618648283,
518.0,0.6142358314900535,
519.0,0.641426648879218,
520.0,0.6682206742128186,
521.0,0.694516510887897,
522.0,0.7202127623014952,
523.0,0.7452080318506551,
524.0,0.7694131875228112,
525.0,0.7927881556669704,
526.0,0.8153051272225313,
527.0,0.8369362931288935,
528.0,0.8576538443254555,
529.0,0.8774299717516176,
530.0,0.8962368663467779,
531.0,0.9140491577901502,
532.0,0.9308512307202051,
533.0,0.9466299085152267,
534.0,0.9613720145534994,
535.0,0.9750812610664988,
536.0,0.9878289156984611,
537.0,0.999703134946813,
538.0,1.010781004219952,
539.0,1.0210953245701595,
540.0,1.030667825960688,
541.0,1.0395202383547884,
542.0,1.047674291715713,
543.0,1.055151716006714,
544.0,1.0619742411910433,
545.0,1.0681652170245535,
546.0,1.0737544724335046,
547.0,1.078773456136757,
548.0,1.0832536168531701,
549.0,1.0872264033016057,
550.0,1.0907232642009237,
551.0,1.0937768050858,
552.0,1.0964242587541748,
553.0,1.0987040148198035,
554.0,1.100654462896441,
555.0,1.102313992597843,
556.0,1.103720993537765,
557.0,1.1049138553299622,
558.0,1.1059225948369673,
559.0,1.1067437379164213,
560.0,1.1073654376747422,
561.0,1.1077758472183479,
562.0,1.1079631196536563,
563.0,1.1079154080870854,
564.0,1.107620865625054,
565.0,1.1070693574490715,
566.0,1.106257597041017,
567.0,1.105184009957862,
568.0,1.1038470217565781,
569.0,1.1022450579941359,
570.0,1.100376544227507,
571.0,1.098239906013663,
572.0,1.0958377287017333,
573.0,1.0931892368094833,
