labels, N11P
300.0,-2.8897885871833434e-05,
320.0,0.00013611978415124063,
340.0,0.0005591416644085618,
360.0,0.0015265662693201862,
380.0,0.0033247921133061718,
400.0,0.006240558737784168,
420.0,0.010563573882113857,
440.0,0.01658507359182934,
460.0,0.024596306543094224,
480.0,0.03488848393321575,
500.0,0.04775212800745009,
520.0,0.06346476608463447,
540.0,0.08183330894303835,
560.0,0.10262533007737361,
580.0,0.12606211514377647,
600.0,0.15178979323821928,
620.0,0.1793919085942799,
640.0,0.20845226658192637,
660.0,0.23890120056109007,
680.0,0.2716987046787595,
700.0,0.307639423103312,
720.0,0.34586449803848685,
740.0,0.38484205189647025,
760.0,0.4221054217793731,
780.0,0.45685742716681293,
800.0,0.4897038133727582,
820.0,0.5214994905818904,
840.0,0.5531509538510869,
860.0,0.58552629589803,
880.0,0.6181734120792174,
900.0,0.6495223733312339,
920.0,0.6791825184661834,
940.0,0.7081379906078616,
960.0,0.7367154192925901,
980.0,0.7641565846703606,
1000.0,0.7898590719848174,
1020.0,0.8136940683443652,
1040.0,0.8358353740552779,
1060.0,0.8566667407802888,
1080.0,0.8752188631150628,
1100.0,0.8914446041835571,
1120.0,0.9056814787277416,
1140.0,0.9185717637151996,
1160.0,0.9307704441318243,
1180.0,0.9422684723568066,
1200.0,0.9528412085696725,
1220.0,0.9631790766397326,
1240.0,0.9732146077748786,
1260.0,0.9821147907183093,
1280.0,0.9893310691239775,
1300.0,0.9946093232510304,
1320.0,0.9980196414507442,
1340.0,0.999674670986229,
1360.0,0.9997240477642161,
1380.0,0.998320400952698,
1400.0,0.9956163500839837,
1420.0,0.9917517281353879,
1440.0,0.986828374575306,
1460.0,0.9809411044572193,
1480.0,0.9741847328346097,
1500.0,0.9666491607598613,
1520.0,0.9583977105386815,
1540.0,0.9494847595118179,
1560.0,0.9399646782792739,
1580.0,0.9298918374410551,
1600.0,0.9193206075971657,
1620.0,0.9083053593476107,
1640.0,0.8969004632923939,
1660.0,0.88515985463039,
1680.0,0.8731274543344767,
1700.0,0.8608371691515349,
1720.0,0.8483224704273147,
1740.0,0.8356168295075665,
1760.0,0.8227537177380415,
1780.0,0.8097666064644891,
1800.0,0.7966889670326609,
1820.0,0.7835542704455785,
1840.0,0.7703928150725081,
1860.0,0.7572239720836171,
1880.0,0.7440647618772314,
1900.0,0.7309322048516764,
1920.0,0.7178433214052785,
1940.0,0.7048151319363631,
1960.0,0.6918646568432566,
1980.0,0.6790089165242845,
2000.0,0.666264533563153,
2020.0,0.6536421780581462,
2040.0,0.6411479378724825,
2060.0,0.6287877829983834,
2080.0,0.6165676834280689,
2100.0,0.6044936091537595,
2120.0,0.592571530167676,
2140.0,0.5808074164620387,
2160.0,0.5692072360802369,
2180.0,0.5577760866596579,
2200.0,0.546516828217952,
2220.0,0.5354319661575697,
2240.0,0.5245240058809615,
2260.0,0.5137954527905786,
2280.0,0.5032488122888719,
2300.0,0.49288658977829153,
2320.0,0.4827112906612889,
2340.0,0.47272508956155795,
2360.0,0.4629272821025024,
2380.0,0.45331568152865354,
2400.0,0.443888088833477,
2420.0,0.4346423050104389,
2440.0,0.42557613105300535,
2460.0,0.41668736795464234,
2480.0,0.4079738167088158,
2500.0,0.3994332783089916,
2520.0,0.39106355374863583,
2540.0,0.38286244402121444,
2560.0,0.3748277501201934,
2580.0,0.36695727303903886,
2600.0,0.3592488137712166,
2620.0,0.3517001733101926,
2640.0,0.34430915264943307,
2660.0,0.3370735527824036,
2680.0,0.32999117470257067,
2700.0,0.32305981940339984,
2720.0,0.31627728787835735,
2740.0,0.309641381120909,
2760.0,0.3031499001245209,
2780.0,0.29680064588265914,
2800.0,0.29059141938878946,
2820.0,0.28452002163637796,
2840.0,0.27858425361889055,
2860.0,0.2727819163297934,
2880.0,0.2671108107625523,
2900.0,0.26156873791063334,
2920.0,0.25615349876750243,
2940.0,0.2508628943266256,
2960.0,0.24569472558146882,
2980.0,0.24064679352549817,
3000.0,0.2357168991521795,
