Labels,sca-30-t3_final,
527.00,1.61135594E+5,
528.00,1.63131906E+5,
529.00,1.65156906E+5,
530.00,1.67206594E+5,
531.00,1.69277406E+5,
532.00,1.71366797E+5,
533.00,1.73471703E+5,
534.00,1.75589094E+5,
535.00,1.77717703E+5,
536.00,1.79855594E+5,
537.00,1.82000297E+5,
538.00,1.84149094E+5,
539.00,1.86299703E+5,
540.00,1.88450000E+5,
541.00,1.90601203E+5,
542.00,1.92756594E+5,
543.00,1.94918594E+5,
544.00,1.97088094E+5,
545.00,1.99265203E+5,
546.00,2.01448797E+5,
547.00,2.03636406E+5,
548.00,2.05827594E+5,
549.00,2.08022094E+5,
550.00,2.10219203E+5,
551.00,2.12418594E+5,
552.00,2.14621594E+5,
553.00,2.16829000E+5,
554.00,2.19042297E+5,
555.00,2.21263500E+5,
556.00,2.23496406E+5,
557.00,2.25746500E+5,
558.00,2.28018797E+5,
559.00,2.30319500E+5,
560.00,2.32653406E+5,
561.00,2.35021094E+5,
562.00,2.37420797E+5,
563.00,2.39848000E+5,
564.00,2.42295594E+5,
565.00,2.44756906E+5,
566.00,2.47229297E+5,
567.00,2.49712297E+5,
568.00,2.52203703E+5,
569.00,2.54700594E+5,
570.00,2.57201797E+5,
571.00,2.59708500E+5,
572.00,2.62222000E+5,
573.00,2.64743500E+5,
574.00,2.67272813E+5,
575.00,2.69811688E+5,
576.00,2.72364406E+5,
577.00,2.74935406E+5,
578.00,2.77532094E+5,
579.00,2.80160000E+5,
580.00,2.82819406E+5,
581.00,2.85506500E+5,
582.00,2.88216688E+5,
583.00,2.90944906E+5,
584.00,2.93686000E+5,
585.00,2.96435094E+5,
586.00,2.99189688E+5,
587.00,3.01951688E+5,
588.00,3.04721688E+5,
589.00,3.07499500E+5,
590.00,3.10286188E+5,
591.00,3.13084094E+5,
592.00,3.15895594E+5,
593.00,3.18724500E+5,
594.00,3.21571188E+5,
595.00,3.24432094E+5,
596.00,3.27301594E+5,
597.00,3.30175688E+5,
598.00,3.33050813E+5,
599.00,3.35925094E+5,
600.00,3.38799000E+5,
601.00,3.41673094E+5,
602.00,3.44550688E+5,
603.00,3.47434000E+5,
604.00,3.50325094E+5,
605.00,3.53223906E+5,
606.00,3.56128094E+5,
607.00,3.59033500E+5,
608.00,3.61938406E+5,
609.00,3.64841000E+5,
610.00,3.67741000E+5,
611.00,3.70643188E+5,
612.00,3.73551000E+5,
613.00,3.76469813E+5,
614.00,3.79405188E+5,
615.00,3.82357906E+5,
616.00,3.85325688E+5,
617.00,3.88306313E+5,
618.00,3.91301594E+5,
619.00,3.94314594E+5,
620.00,3.97347313E+5,
621.00,4.00400500E+5,
622.00,4.03478594E+5,
623.00,4.06589813E+5,
624.00,4.09740313E+5,
625.00,4.12929688E+5,
626.00,4.16154313E+5,
627.00,4.19406000E+5,
628.00,4.22674313E+5,
629.00,4.25949688E+5,
630.00,4.29225906E+5,
631.00,4.32499594E+5,
632.00,4.35767094E+5,
633.00,4.39023688E+5,
634.00,4.42264594E+5,
635.00,4.45486188E+5,
636.00,4.48687688E+5,
637.00,4.51871094E+5,
638.00,4.55038906E+5,
639.00,4.58192906E+5,
640.00,4.61332906E+5,
641.00,4.64460906E+5,
642.00,4.67583406E+5,
643.00,4.70711813E+5,
644.00,4.73857000E+5,
645.00,4.77026500E+5,
646.00,4.80224313E+5,
647.00,4.83452688E+5,
648.00,4.86708906E+5,
649.00,4.89990188E+5,
650.00,4.93287313E+5,
651.00,4.96593094E+5,
652.00,4.99899000E+5,
653.00,5.03199813E+5,
654.00,5.06498813E+5,
655.00,5.09802813E+5,
656.00,5.13117906E+5,
657.00,5.16444906E+5,
658.00,5.19775688E+5,
659.00,5.23103688E+5,
660.00,5.26427813E+5,
661.00,5.29750688E+5,
662.00,5.33072688E+5,
663.00,5.36391625E+5,
664.00,5.39703500E+5,
665.00,5.43001125E+5,
666.00,5.46275813E+5,
667.00,5.49520688E+5,
668.00,5.52728500E+5,
669.00,5.55900000E+5,
670.00,5.59053375E+5,
671.00,5.62218875E+5,
672.00,5.65426875E+5,
673.00,5.68695375E+5,
674.00,5.72029000E+5,
675.00,5.75417688E+5,
676.00,5.78847500E+5,
677.00,5.82312125E+5,
678.00,5.85807313E+5,
679.00,5.89331375E+5,
680.00,5.92884813E+5,
681.00,5.96466125E+5,
682.00,6.00071688E+5,
683.00,6.03691813E+5,
684.00,6.07311813E+5,
685.00,6.10920375E+5,
686.00,6.14517500E+5,
687.00,6.18108375E+5,
688.00,6.21697313E+5,
689.00,6.25284688E+5,
690.00,6.28869813E+5,
691.00,6.32456500E+5,
692.00,6.36045813E+5,
693.00,6.39635375E+5,
694.00,6.43219375E+5,
