Labels,T6 data_Apr2019_Fluoracle2,
526.00,5.12271523E-2,
527.00,5.19018508E-2,
528.00,5.25819995E-2,
529.00,5.32676652E-2,
530.00,5.39589375E-2,
531.00,5.46558276E-2,
532.00,5.53584211E-2,
533.00,5.60667738E-2,
534.00,5.67808896E-2,
535.00,5.75008094E-2,
536.00,5.82264923E-2,
537.00,5.89580461E-2,
538.00,5.96953519E-2,
539.00,6.04384691E-2,
540.00,6.11873493E-2,
541.00,6.19420446E-2,
542.00,6.27024919E-2,
543.00,6.34687021E-2,
544.00,6.42405599E-2,
545.00,6.50180653E-2,
546.00,6.58011734E-2,
547.00,6.65898249E-2,
548.00,6.73839673E-2,
549.00,6.81836456E-2,
550.00,6.89886585E-2,
551.00,6.97990507E-2,
552.00,7.06148297E-2,
553.00,7.14358762E-2,
554.00,7.22621977E-2,
555.00,7.30937421E-2,
556.00,7.39305615E-2,
557.00,7.47724846E-2,
558.00,7.56196454E-2,
559.00,7.64719620E-2,
560.00,7.73295537E-2,
561.00,7.81923085E-2,
562.00,7.90603906E-2,
563.00,7.99338594E-2,
564.00,8.08127597E-2,
565.00,8.16972628E-2,
566.00,8.25874731E-2,
567.00,8.34835917E-2,
568.00,8.43858495E-2,
569.00,8.52943584E-2,
570.00,8.62093195E-2,
571.00,8.71309564E-2,
572.00,8.80594254E-2,
573.00,8.89947861E-2,
574.00,8.99371877E-2,
575.00,9.08866972E-2,
576.00,9.18433741E-2,
577.00,9.28073078E-2,
578.00,9.37784538E-2,
579.00,9.47569758E-2,
580.00,9.57428142E-2,
581.00,9.67361405E-2,
582.00,9.77369323E-2,
583.00,9.87452790E-2,
584.00,9.97612029E-2,
585.00,1.00784764E-1,
586.00,1.01815917E-1,
587.00,1.02854669E-1,
588.00,1.03900991E-1,
589.00,1.04954809E-1,
590.00,1.06015995E-1,
591.00,1.07084438E-1,
592.00,1.08159997E-1,
593.00,1.09242499E-1,
594.00,1.10331558E-1,
595.00,1.11426860E-1,
596.00,1.12528034E-1,
597.00,1.13634534E-1,
598.00,1.14745714E-1,
599.00,1.15860984E-1,
600.00,1.16979435E-1,
601.00,1.18100256E-1,
602.00,1.19222730E-1,
603.00,1.20346025E-1,
604.00,1.21469587E-1,
605.00,1.22592822E-1,
606.00,1.23715200E-1,
607.00,1.24836229E-1,
608.00,1.25955820E-1,
609.00,1.27073884E-1,
610.00,1.28190607E-1,
611.00,1.29306257E-1,
612.00,1.30421311E-1,
613.00,1.31536365E-1,
614.00,1.32651955E-1,
615.00,1.33768633E-1,
616.00,1.34886757E-1,
617.00,1.36006668E-1,
618.00,1.37128726E-1,
619.00,1.38253182E-1,
620.00,1.39380246E-1,
621.00,1.40510157E-1,
622.00,1.41643405E-1,
623.00,1.42780259E-1,
624.00,1.43920928E-1,
625.00,1.45065367E-1,
626.00,1.46213695E-1,
627.00,1.47366151E-1,
628.00,1.48522913E-1,
629.00,1.49684086E-1,
630.00,1.50849909E-1,
631.00,1.52020231E-1,
632.00,1.53195247E-1,
633.00,1.54374823E-1,
634.00,1.55559093E-1,
635.00,1.56748101E-1,
636.00,1.57941937E-1,
637.00,1.59140468E-1,
638.00,1.60343841E-1,
639.00,1.61551863E-1,
640.00,1.62764534E-1,
641.00,1.63981840E-1,
642.00,1.65203571E-1,
643.00,1.66429594E-1,
644.00,1.67659879E-1,
645.00,1.68894187E-1,
646.00,1.70132399E-1,
647.00,1.71374083E-1,
648.00,1.72619209E-1,
649.00,1.73867375E-1,
650.00,1.75118208E-1,
651.00,1.76371470E-1,
652.00,1.77627057E-1,
653.00,1.78884834E-1,
654.00,1.80144757E-1,
655.00,1.81406751E-1,
656.00,1.82670936E-1,
657.00,1.83937550E-1,
658.00,1.85206681E-1,
659.00,1.86478615E-1,
660.00,1.87753394E-1,
661.00,1.89031154E-1,
662.00,1.90311864E-1,
663.00,1.91595688E-1,
664.00,1.92882806E-1,
665.00,1.94173351E-1,
666.00,1.95467412E-1,
667.00,1.96765035E-1,
668.00,1.98066190E-1,
669.00,1.99370906E-1,
670.00,2.00679109E-1,
671.00,2.01990709E-1,
672.00,2.03305483E-1,
673.00,2.04623163E-1,
674.00,2.05943808E-1,
675.00,2.07267568E-1,
676.00,2.08594784E-1,
677.00,2.09925592E-1,
678.00,2.11260393E-1,
679.00,2.12599546E-1,
680.00,2.13943556E-1,
681.00,2.15292916E-1,
682.00,2.16648132E-1,
683.00,2.18009606E-1,
684.00,2.19377622E-1,
685.00,2.20752493E-1,
686.00,2.22134665E-1,
687.00,2.23524302E-1,
688.00,2.24921793E-1,
689.00,2.26327583E-1,
690.00,2.27741972E-1,
691.00,2.29165286E-1,
692.00,2.30597883E-1,
693.00,2.32039943E-1,
694.00,2.33491734E-1,
695.00,2.34953597E-1,
696.00,2.36425847E-1,
697.00,2.37908795E-1,
698.00,2.39402741E-1,
699.00,2.40907982E-1,
700.00,2.42424771E-1,
701.00,2.43953273E-1,
702.00,2.45493755E-1,
703.00,2.47046411E-1,
704.00,2.48611435E-1,
705.00,2.50188857E-1,
706.00,2.51778841E-1,
707.00,2.53381550E-1,
708.00,2.54996687E-1,
709.00,2.56623954E-1,
710.00,2.58262902E-1,
711.00,2.59913415E-1,
712.00,2.61574924E-1,
713.00,2.63247162E-1,
714.00,2.64929891E-1,
715.00,2.66622812E-1,
716.00,2.68325478E-1,
717.00,2.70037711E-1,
718.00,2.71759212E-1,
719.00,2.73489654E-1,
720.00,2.75229126E-1,
721.00,2.76977390E-1,
722.00,2.78734386E-1,
723.00,2.80500114E-1,
724.00,2.82274395E-1,
725.00,2.84057289E-1,
726.00,2.85848498E-1,
727.00,2.87647814E-1,
728.00,2.89455026E-1,
729.00,2.91269988E-1,
730.00,2.93092310E-1,
731.00,2.94921607E-1,
732.00,2.96757430E-1,
733.00,2.98599362E-1,
734.00,3.00446689E-1,
735.00,3.02298903E-1,
736.00,3.04155439E-1,
737.00,3.06015790E-1,
738.00,3.07879776E-1,
739.00,3.09746981E-1,
740.00,3.11616808E-1,
741.00,3.13488662E-1,
742.00,3.15361917E-1,
743.00,3.17235768E-1,
744.00,3.19109738E-1,
745.00,3.20983320E-1,
746.00,3.22855890E-1,
747.00,3.24726731E-1,
748.00,3.26595187E-1,
749.00,3.28460485E-1,
750.00,3.30321997E-1,
751.00,3.32179189E-1,
752.00,3.34032059E-1,
753.00,3.35880429E-1,
754.00,3.37724328E-1,
755.00,3.39563906E-1,
756.00,3.41398925E-1,
757.00,3.43229204E-1,
758.00,3.45055044E-1,
759.00,3.46876711E-1,
760.00,3.48694474E-1,
761.00,3.50508571E-1,
762.00,3.52319270E-1,
763.00,3.54127079E-1,
764.00,3.55932415E-1,
765.00,3.57735604E-1,
766.00,3.59537035E-1,
767.00,3.61337185E-1,
768.00,3.63136560E-1,
769.00,3.64935428E-1,
770.00,3.66734177E-1,
771.00,3.68533194E-1,
772.00,3.70332360E-1,
773.00,3.72131944E-1,
774.00,3.73931885E-1,
775.00,3.75732303E-1,
776.00,3.77533287E-1,
777.00,3.79334569E-1,
778.00,3.81136179E-1,
779.00,3.82937849E-1,
780.00,3.84739459E-1,
781.00,3.86540830E-1,
782.00,3.88341576E-1,
783.00,3.90141428E-1,
784.00,3.91939938E-1,
785.00,3.93736780E-1,
786.00,3.95531416E-1,
787.00,3.97323698E-1,
788.00,3.99113297E-1,
789.00,4.00899947E-1,
790.00,4.02683109E-1,
791.00,4.04462337E-1,
792.00,4.06237096E-1,
793.00,4.08006728E-1,
794.00,4.09771025E-1,
795.00,4.11529541E-1,
796.00,4.13282245E-1,
797.00,4.15029049E-1,
798.00,4.16770101E-1,
799.00,4.18505728E-1,
800.00,4.20236349E-1,
801.00,4.21962440E-1,
802.00,4.23684180E-1,
803.00,4.25401807E-1,
