Labels	T4_data_Sept2014_v2	
477.00	2.68260762E-2	
478.00	2.72770114E-2	
479.00	2.77333241E-2	
480.00	2.81950552E-2	
481.00	2.86622420E-2	
482.00	2.91349199E-2	
483.00	2.96131223E-2	
484.00	3.00968811E-2	
485.00	3.05862203E-2	
486.00	3.10811717E-2	
487.00	3.15817483E-2	
488.00	3.20879743E-2	
489.00	3.25998664E-2	
490.00	3.31174210E-2	
491.00	3.36406603E-2	
492.00	3.41695659E-2	
493.00	3.47041711E-2	
494.00	3.52444686E-2	
495.00	3.57904732E-2	
496.00	3.63421813E-2	
497.00	3.68995965E-2	
498.00	3.74627039E-2	
499.00	3.80315036E-2	
500.00	3.86059843E-2	
501.00	3.91861349E-2	
502.00	3.97719331E-2	
503.00	4.03633714E-2	
504.00	4.09604274E-2	
505.00	4.15630937E-2	
506.00	4.21713628E-2	
507.00	4.27852273E-2	
508.00	4.34046872E-2	
509.00	4.40297350E-2	
510.00	4.46603671E-2	
511.00	4.52965908E-2	
512.00	4.59384136E-2	
513.00	4.65858355E-2	
514.00	4.72388789E-2	
515.00	4.78975661E-2	
516.00	4.85618971E-2	
517.00	4.92319278E-2	
518.00	4.99076582E-2	
519.00	5.05891368E-2	
520.00	5.12763970E-2	
521.00	5.19694686E-2	
522.00	5.26683740E-2	
523.00	5.33731468E-2	
524.00	5.40837832E-2	
525.00	5.48002869E-2	
526.00	5.55226468E-2	
527.00	5.62508740E-2	
528.00	5.69849424E-2	
529.00	5.77248447E-2	
530.00	5.84705658E-2	
531.00	5.92220761E-2	
532.00	5.99793755E-2	
533.00	6.07424341E-2	
534.00	6.15112521E-2	
535.00	6.22857995E-2	
536.00	6.30660802E-2	
537.00	6.38520718E-2	
538.00	6.46437705E-2	
539.00	6.54411614E-2	
540.00	6.62442595E-2	
541.00	6.70530647E-2	
542.00	6.78675771E-2	
543.00	6.86878115E-2	
544.00	6.95137456E-2	
545.00	7.03453720E-2	
546.00	7.11827204E-2	
547.00	7.20257983E-2	
548.00	7.28745982E-2	
549.00	7.37291574E-2	
550.00	7.45894760E-2	
551.00	7.54594803E-2	
552.00	7.63355121E-2	
553.00	7.72175863E-2	
554.00	7.81057253E-2	
555.00	7.89999217E-2	
556.00	7.99001977E-2	
557.00	8.08065459E-2	
558.00	8.17189813E-2	
559.00	8.26375186E-2	
560.00	8.35621357E-2	
561.00	8.44928399E-2	
562.00	8.54296684E-2	
563.00	8.63725990E-2	
564.00	8.73216391E-2	
565.00	8.82767886E-2	
566.00	8.92380476E-2	
567.00	9.02054161E-2	
568.00	9.11788791E-2	
569.00	9.21584666E-2	
570.00	9.31441188E-2	
571.00	9.41358656E-2	
572.00	9.51336622E-2	
573.00	9.61375162E-2	
574.00	9.71474126E-2	
575.00	9.81633291E-2	
576.00	9.91852358E-2	
577.00	1.00213133E-1	
578.00	1.01246975E-1	
579.00	1.02286763E-1	
580.00	1.03332438E-1	
581.00	1.04383990E-1	
582.00	1.05441391E-1	
583.00	1.06504619E-1	
584.00	1.07573628E-1	
