Labels,T2 data_interpolated up to 2500,
527.00,8.34042951E-2,
528.00,8.43462422E-2,
529.00,8.52951035E-2,
530.00,8.62507895E-2,
531.00,8.72131884E-2,
532.00,8.81820545E-2,
533.00,8.91572684E-2,
534.00,9.01387706E-2,
535.00,9.11263674E-2,
536.00,9.21199620E-2,
537.00,9.31195393E-2,
538.00,9.41250846E-2,
539.00,9.51363891E-2,
540.00,9.61533636E-2,
541.00,9.71760005E-2,
542.00,9.82043445E-2,
543.00,9.92381573E-2,
544.00,1.00277409E-1,
545.00,1.01322129E-1,
546.00,1.02372408E-1,
547.00,1.03428341E-1,
548.00,1.04489975E-1,
549.00,1.05557315E-1,
550.00,1.06630191E-1,
551.00,1.07708514E-1,
552.00,1.08792283E-1,
553.00,1.09881416E-1,
554.00,1.10975794E-1,
555.00,1.12075299E-1,
556.00,1.13179907E-1,
557.00,1.14289612E-1,
558.00,1.15404449E-1,
559.00,1.16524510E-1,
560.00,1.17650114E-1,
561.00,1.18781477E-1,
562.00,1.19918719E-1,
563.00,1.21062167E-1,
564.00,1.22212246E-1,
565.00,1.23369321E-1,
566.00,1.24533609E-1,
567.00,1.25705272E-1,
568.00,1.26884505E-1,
569.00,1.28071606E-1,
570.00,1.29266813E-1,
571.00,1.30470112E-1,
572.00,1.31681368E-1,
573.00,1.32900327E-1,
574.00,1.34126872E-1,
575.00,1.35360897E-1,
576.00,1.36602432E-1,
577.00,1.37851506E-1,
578.00,1.39108062E-1,
579.00,1.40372112E-1,
580.00,1.41643479E-1,
581.00,1.42921850E-1,
582.00,1.44206926E-1,
583.00,1.45498320E-1,
584.00,1.46795586E-1,
585.00,1.48098364E-1,
586.00,1.49406418E-1,
587.00,1.50719166E-1,
588.00,1.52035981E-1,
589.00,1.53356344E-1,
590.00,1.54679805E-1,
591.00,1.56005949E-1,
592.00,1.57334462E-1,
593.00,1.58665165E-1,
594.00,1.59998059E-1,
595.00,1.61333069E-1,
596.00,1.62670314E-1,
597.00,1.64010197E-1,
598.00,1.65353164E-1,
599.00,1.66699737E-1,
600.00,1.68050557E-1,
601.00,1.69406027E-1,
602.00,1.70766130E-1,
603.00,1.72130808E-1,
604.00,1.73500031E-1,
605.00,1.74873576E-1,
606.00,1.76251173E-1,
607.00,1.77632824E-1,
608.00,1.79018974E-1,
609.00,1.80409864E-1,
610.00,1.81805775E-1,
611.00,1.83207169E-1,
612.00,1.84614912E-1,
613.00,1.86029211E-1,
614.00,1.87450215E-1,
615.00,1.88878283E-1,
616.00,1.90313756E-1,
617.00,1.91756725E-1,
618.00,1.93207085E-1,
619.00,1.94664389E-1,
620.00,1.96127996E-1,
621.00,1.97596893E-1,
622.00,1.99069783E-1,
623.00,2.00546041E-1,
624.00,2.02025250E-1,
625.00,2.03507587E-1,
626.00,2.04993233E-1,
627.00,2.06482321E-1,
628.00,2.07975179E-1,
629.00,2.09472150E-1,
630.00,2.10973337E-1,
631.00,2.12478727E-1,
632.00,2.13988170E-1,
633.00,2.15501726E-1,
634.00,2.17019349E-1,
635.00,2.18541086E-1,
636.00,2.20067352E-1,
637.00,2.21598640E-1,
638.00,2.23135650E-1,
639.00,2.24678770E-1,
640.00,2.26228371E-1,
641.00,2.27784485E-1,
642.00,2.29347125E-1,
643.00,2.30916262E-1,
