Labels,T data_N11P_Feb2020_up to 3000,
526.00,6.85858354E-2,
527.00,6.94806501E-2,
528.00,7.03879073E-2,
529.00,7.13070631E-2,
530.00,7.22374693E-2,
531.00,7.31783584E-2,
532.00,7.41287470E-2,
533.00,7.50874579E-2,
534.00,7.60535598E-2,
535.00,7.70263597E-2,
536.00,7.80053660E-2,
537.00,7.89900795E-2,
538.00,7.99802244E-2,
539.00,8.09750780E-2,
540.00,8.19741115E-2,
541.00,8.29770118E-2,
542.00,8.39836895E-2,
543.00,8.49946812E-2,
544.00,8.60098004E-2,
545.00,8.70284960E-2,
546.00,8.80494490E-2,
547.00,8.90710875E-2,
548.00,9.00930911E-2,
549.00,9.11159366E-2,
550.00,9.21404362E-2,
551.00,9.31675360E-2,
552.00,9.41981673E-2,
553.00,9.52327102E-2,
554.00,9.62718502E-2,
555.00,9.73160639E-2,
556.00,9.83664244E-2,
557.00,9.94245186E-2,
558.00,1.00491233E-1,
559.00,1.01567566E-1,
560.00,1.02654174E-1,
561.00,1.03750877E-1,
562.00,1.04857378E-1,
563.00,1.05973035E-1,
564.00,1.07096784E-1,
565.00,1.08227499E-1,
566.00,1.09365679E-1,
567.00,1.10512994E-1,
568.00,1.11669943E-1,
569.00,1.12836212E-1,
570.00,1.14011057E-1,
571.00,1.15194157E-1,
572.00,1.16385587E-1,
573.00,1.17584944E-1,
574.00,1.18790671E-1,
575.00,1.20000966E-1,
576.00,1.21214427E-1,
577.00,1.22430250E-1,
578.00,1.23649634E-1,
579.00,1.24873839E-1,
580.00,1.26102746E-1,
581.00,1.27334908E-1,
582.00,1.28569081E-1,
583.00,1.29804581E-1,
584.00,1.31041110E-1,
585.00,1.32278353E-1,
586.00,1.33517742E-1,
587.00,1.34762317E-1,
588.00,1.36014357E-1,
589.00,1.37274832E-1,
590.00,1.38544053E-1,
591.00,1.39821947E-1,
592.00,1.41108930E-1,
593.00,1.42406851E-1,
594.00,1.43715695E-1,
595.00,1.45034045E-1,
596.00,1.46360174E-1,
597.00,1.47692218E-1,
598.00,1.49028078E-1,
599.00,1.50366738E-1,
600.00,1.51708409E-1,
601.00,1.53047994E-1,
602.00,1.54392481E-1,
603.00,1.55741885E-1,
604.00,1.57096118E-1,
605.00,1.58455133E-1,
606.00,1.59818828E-1,
607.00,1.61187172E-1,
608.00,1.62560090E-1,
609.00,1.63937524E-1,
610.00,1.65319413E-1,
611.00,1.66705623E-1,
612.00,1.68096200E-1,
613.00,1.69491008E-1,
614.00,1.70889989E-1,
615.00,1.72293067E-1,
616.00,1.73700184E-1,
617.00,1.75111264E-1,
618.00,1.76526293E-1,
619.00,1.77945107E-1,
620.00,1.79367736E-1,
621.00,1.80794075E-1,
622.00,1.82224035E-1,
623.00,1.83657646E-1,
624.00,1.85094759E-1,
625.00,1.86535388E-1,
626.00,1.87979415E-1,
627.00,1.89426810E-1,
628.00,1.90877542E-1,
629.00,1.92331523E-1,
630.00,1.93788737E-1,
631.00,1.95249125E-1,
632.00,1.96712658E-1,
633.00,1.98179290E-1,
634.00,1.99649021E-1,
635.00,2.01121837E-1,
636.00,2.02597708E-1,
637.00,2.04076663E-1,
638.00,2.05558687E-1,
639.00,2.07043782E-1,
640.00,2.08532006E-1,
641.00,2.10023344E-1,
642.00,2.11517870E-1,
643.00,2.13015616E-1,
644.00,2.14516610E-1,
645.00,2.16020986E-1,
646.00,2.17528775E-1,
647.00,2.19040051E-1,
648.00,2.20554933E-1,
649.00,2.22073480E-1,
650.00,2.23595843E-1,
651.00,2.25122049E-1,
652.00,2.26652235E-1,
653.00,2.28186578E-1,
654.00,2.29725122E-1,
655.00,2.31268018E-1,
656.00,2.32815370E-1,
657.00,2.34367311E-1,
658.00,2.35924050E-1,
659.00,2.37485647E-1,
660.00,2.39052281E-1,
661.00,2.40624115E-1,
662.00,2.42201328E-1,
663.00,2.43784040E-1,
664.00,2.45372444E-1,
665.00,2.46966660E-1,
666.00,2.48566896E-1,
667.00,2.50173301E-1,
668.00,2.51786053E-1,
669.00,2.53405273E-1,
670.00,2.55031168E-1,
671.00,2.56663948E-1,
672.00,2.58303702E-1,
673.00,2.59950697E-1,
674.00,2.61604995E-1,
675.00,2.63266921E-1,
676.00,2.64936179E-1,
677.00,2.66613334E-1,
678.00,2.68298358E-1,
679.00,2.69991279E-1,
680.00,2.71692336E-1,
681.00,2.73401767E-1,
682.00,2.75119364E-1,
683.00,2.76845098E-1,
684.00,2.78579503E-1,
685.00,2.80322284E-1,
686.00,2.82073230E-1,
687.00,2.83833086E-1,
688.00,2.85601109E-1,
689.00,2.87377506E-1,
690.00,2.89162606E-1,
691.00,2.90955842E-1,
692.00,2.92757183E-1,
693.00,2.94566959E-1,
694.00,2.96384841E-1,
695.00,2.98210621E-1,
696.00,3.00044298E-1,
697.00,3.01885813E-1,
698.00,3.03734958E-1,
699.00,3.05591732E-1,
700.00,3.07455838E-1,
701.00,3.09327066E-1,
702.00,3.11205089E-1,
703.00,3.13090205E-1,
704.00,3.14981908E-1,
705.00,3.16879869E-1,
706.00,3.18784177E-1,
707.00,3.20694238E-1,
708.00,3.22610080E-1,
709.00,3.24531466E-1,
710.00,3.26457798E-1,
711.00,3.28389138E-1,
712.00,3.30324948E-1,
713.00,3.32264930E-1,
714.00,3.34208906E-1,
715.00,3.36156279E-1,
716.00,3.38107020E-1,
717.00,3.40060949E-1,
718.00,3.42017233E-1,
719.00,3.43975604E-1,
720.00,3.45936090E-1,
721.00,3.47897887E-1,
