Labels,SCA30-2-t_old data from 844_Oct2020,
526.00,1.07065819E-1,
527.00,1.08277753E-1,
528.00,1.09497756E-1,
529.00,1.10725835E-1,
530.00,1.11961991E-1,
531.00,1.13206193E-1,
532.00,1.14458404E-1,
533.00,1.15718551E-1,
534.00,1.16986550E-1,
535.00,1.18262306E-1,
536.00,1.19545713E-1,
537.00,1.20836668E-1,
538.00,1.22135065E-1,
539.00,1.23440802E-1,
540.00,1.24753766E-1,
541.00,1.26073867E-1,
542.00,1.27401024E-1,
543.00,1.28735125E-1,
544.00,1.30076125E-1,
545.00,1.31423905E-1,
546.00,1.32778391E-1,
547.00,1.34139478E-1,
548.00,1.35507017E-1,
549.00,1.36880919E-1,
550.00,1.38260990E-1,
551.00,1.39647081E-1,
552.00,1.41038954E-1,
553.00,1.42436400E-1,
554.00,1.43839151E-1,
555.00,1.45246923E-1,
556.00,1.46659419E-1,
557.00,1.48076326E-1,
558.00,1.49497285E-1,
559.00,1.50921971E-1,
560.00,1.52350053E-1,
561.00,1.53781176E-1,
562.00,1.55215055E-1,
563.00,1.56651363E-1,
564.00,1.58089831E-1,
565.00,1.59530222E-1,
566.00,1.60972312E-1,
567.00,1.62415892E-1,
568.00,1.63860843E-1,
569.00,1.65307000E-1,
570.00,1.66754276E-1,
571.00,1.68202609E-1,
572.00,1.69651911E-1,
573.00,1.71102166E-1,
574.00,1.72553301E-1,
575.00,1.74005315E-1,
576.00,1.75458163E-1,
577.00,1.76911816E-1,
578.00,1.78366229E-1,
579.00,1.79821342E-1,
580.00,1.81277126E-1,
581.00,1.82733521E-1,
582.00,1.84190437E-1,
583.00,1.85647830E-1,
584.00,1.87105626E-1,
585.00,1.88563734E-1,
586.00,1.90022111E-1,
587.00,1.91480681E-1,
588.00,1.92939401E-1,
589.00,1.94398224E-1,
590.00,1.95857137E-1,
591.00,1.97316140E-1,
592.00,1.98775262E-1,
593.00,2.00234547E-1,
594.00,2.01694071E-1,
595.00,2.03153953E-1,
596.00,2.04614341E-1,
597.00,2.06075400E-1,
598.00,2.07537353E-1,
599.00,2.09000438E-1,
600.00,2.10464939E-1,
601.00,2.11931139E-1,
602.00,2.13399395E-1,
603.00,2.14870051E-1,
604.00,2.16343462E-1,
605.00,2.17820033E-1,
606.00,2.19300181E-1,
607.00,2.20784277E-1,
608.00,2.22272754E-1,
609.00,2.23765999E-1,
610.00,2.25264370E-1,
611.00,2.26768225E-1,
612.00,2.28277862E-1,
