Labels,T1_data_new_corrected,
477.00,5.84453281E+4,
478.00,5.92827891E+4,
479.00,6.01290156E+4,
480.00,6.09842148E+4,
481.00,6.18485664E+4,
482.00,6.27220391E+4,
483.00,6.36045586E+4,
484.00,6.44960469E+4,
485.00,6.53964141E+4,
486.00,6.63056016E+4,
487.00,6.72235313E+4,
488.00,6.81501094E+4,
489.00,6.90852734E+4,
490.00,7.00289375E+4,
491.00,7.09810313E+4,
492.00,7.19414766E+4,
493.00,7.29102188E+4,
494.00,7.38871797E+4,
495.00,7.48722813E+4,
496.00,7.58654531E+4,
497.00,7.68666328E+4,
498.00,7.78757500E+4,
499.00,7.88927344E+4,
500.00,7.99175000E+4,
501.00,8.09499609E+4,
502.00,8.19898672E+4,
503.00,8.30369375E+4,
504.00,8.40909063E+4,
505.00,8.51514844E+4,
506.00,8.62183984E+4,
507.00,8.72913750E+4,
508.00,8.83701250E+4,
509.00,8.94543828E+4,
510.00,9.05438828E+4,
511.00,9.16384063E+4,
512.00,9.27381953E+4,
513.00,9.38435156E+4,
514.00,9.49546797E+4,
515.00,9.60719922E+4,
516.00,9.71957266E+4,
517.00,9.83262031E+4,
518.00,9.94637031E+4,
519.00,1.00608539E+5,
520.00,1.01760984E+5,
521.00,1.02921313E+5,
522.00,1.04089578E+5,
523.00,1.05265797E+5,
524.00,1.06449992E+5,
525.00,1.07642156E+5,
526.00,1.08842344E+5,
527.00,1.10050531E+5,
528.00,1.11266750E+5,
529.00,1.12491031E+5,
530.00,1.13723367E+5,
531.00,1.14963773E+5,
532.00,1.16212180E+5,
533.00,1.17468523E+5,
534.00,1.18732695E+5,
535.00,1.20004641E+5,
536.00,1.21284281E+5,
537.00,1.22571531E+5,
538.00,1.23866305E+5,
539.00,1.25168555E+5,
540.00,1.26478164E+5,
541.00,1.27795031E+5,
542.00,1.29118789E+5,
543.00,1.30449070E+5,
544.00,1.31785453E+5,
545.00,1.33127578E+5,
546.00,1.34475031E+5,
547.00,1.35827406E+5,
548.00,1.37184328E+5,
549.00,1.38545406E+5,
550.00,1.39910234E+5,
551.00,1.41278547E+5,
552.00,1.42650500E+5,
553.00,1.44026391E+5,
554.00,1.45406516E+5,
555.00,1.46791172E+5,
556.00,1.48180625E+5,
557.00,1.49575203E+5,
558.00,1.50975156E+5,
559.00,1.52380797E+5,
560.00,1.53792406E+5,
561.00,1.55210297E+5,
562.00,1.56634875E+5,
563.00,1.58066563E+5,
564.00,1.59505781E+5,
565.00,1.60952953E+5,
566.00,1.62408484E+5,
567.00,1.63872813E+5,
568.00,1.65346375E+5,
569.00,1.66829578E+5,
570.00,1.68322828E+5,
571.00,1.69826453E+5,
572.00,1.71340297E+5,
573.00,1.72864125E+5,
574.00,1.74397641E+5,
575.00,1.75940609E+5,
576.00,1.77492734E+5,
577.00,1.79053781E+5,
578.00,1.80623484E+5,
579.00,1.82201609E+5,
580.00,1.83787844E+5,
581.00,1.85381891E+5,
582.00,1.86983078E+5,
583.00,1.88590719E+5,
584.00,1.90204094E+5,
585.00,1.91822484E+5,
586.00,1.93445172E+5,
587.00,1.95071453E+5,
588.00,1.96700594E+5,
589.00,1.98331906E+5,
590.00,1.99964641E+5,
591.00,2.01598313E+5,
592.00,2.03233125E+5,
593.00,2.04869469E+5,
594.00,2.06507813E+5,
595.00,2.08148516E+5,
596.00,2.09792016E+5,
597.00,2.11438719E+5,
598.00,2.13089031E+5,
599.00,2.14743406E+5,
600.00,2.16402234E+5,
601.00,2.18065844E+5,
602.00,2.19734375E+5,
603.00,2.21407875E+5,
604.00,2.23086391E+5,
605.00,2.24769969E+5,
606.00,2.26458719E+5,
607.00,2.28152641E+5,
608.00,2.29851813E+5,
609.00,2.31556281E+5,
610.00,2.33266063E+5,
611.00,2.34981234E+5,
612.00,2.36701688E+5,
613.00,2.38427203E+5,
614.00,2.40157672E+5,
615.00,2.41892922E+5,
616.00,2.43632813E+5,
617.00,2.45377203E+5,
618.00,2.47125891E+5,
619.00,2.48878781E+5,
620.00,2.50635688E+5,
621.00,2.52396422E+5,
622.00,2.54160766E+5,
623.00,2.55928422E+5,
624.00,2.57699094E+5,
625.00,2.59472547E+5,
626.00,2.61248453E+5,
627.00,2.63026563E+5,
628.00,2.64806594E+5,
629.00,2.66588281E+5,
630.00,2.68371344E+5,
631.00,2.70155500E+5,
632.00,2.71940500E+5,
633.00,2.73726094E+5,
634.00,2.75512031E+5,
635.00,2.77298094E+5,
636.00,2.79084063E+5,
637.00,2.80869625E+5,
638.00,2.82654594E+5,
639.00,2.84438688E+5,
640.00,2.86221688E+5,
641.00,2.88003438E+5,
642.00,2.89784156E+5,
